seuil_pente,seuil_ordonnee_a_l_origine,left_index_caracteristique1,right_index_caracteristique1,left_index_caracteristique2,right_index_caracteristique2,total_points_caracteristique1,total_points_caracteristique2,erreur
0.6,5.5,0,12,89,99,13,11,0.040268456
0.75,3.5,0,12,89,99,13,11,0.040268456
0.6,0.5,0,12,74,99,13,26,0.040268456
0.6,0,0,12,73,99,13,27,0.040268456
0.6,0.5,0,12,73,99,13,27,0.040268456
0.65,5.5,0,13,89,99,14,11,0.040268456
0.75,4,0,13,89,99,14,11,0.040268456
0.6,0,0,14,70,99,15,30,0.040268456
0.6,0.5,0,14,70,99,15,30,0.040268456
0.65,0,0,14,70,99,15,30,0.040268456
0.6,0,0,15,70,99,16,30,0.040268456
0.6,0.5,0,15,70,99,16,30,0.040268456
0.6,5.5,0,11,89,99,12,11,0.043624161
0.75,3.5,0,11,89,99,12,11,0.043624161
0.65,4.5,0,11,88,99,12,12,0.043624161
0.8,2.5,0,11,88,99,12,12,0.043624161
0.6,0,0,11,74,99,12,26,0.043624161
0.6,0.5,0,11,74,99,12,26,0.043624161
0.6,0,0,11,73,99,12,27,0.043624161
0.6,0.5,0,11,73,99,12,27,0.043624161
0.65,3.5,0,12,89,99,13,11,0.043624161
0.65,4,0,12,89,99,13,11,0.043624161
0.65,4.5,0,12,89,99,13,11,0.043624161
0.65,5.5,0,12,89,99,13,11,0.043624161
0.7,3,0,12,89,99,13,11,0.043624161
0.7,3.5,0,12,89,99,13,11,0.043624161
0.7,4,0,12,89,99,13,11,0.043624161
0.75,2.5,0,12,89,99,13,11,0.043624161
0.75,3,0,12,89,99,13,11,0.043624161
0.75,4,0,12,89,99,13,11,0.043624161
0.8,2,0,12,89,99,13,11,0.043624161
0.8,2.5,0,12,89,99,13,11,0.043624161
0.85,1.5,0,12,89,99,13,11,0.043624161
0.85,2,0,12,89,99,13,11,0.043624161
0.9,1,0,12,89,99,13,11,0.043624161
0.95,0.5,0,12,89,99,13,11,0.043624161
0.65,4.5,0,12,88,99,13,12,0.043624161
0.8,2.5,0,12,88,99,13,12,0.043624161
0.6,0,0,12,74,99,13,26,0.043624161
0.65,0,0,12,74,99,13,26,0.043624161
0.6,0,0,12,72,99,13,28,0.043624161
0.6,0.5,0,12,72,99,13,28,0.043624161
0.6,0,0,12,71,99,13,29,0.043624161
