normalized_words,moliere_frequency,moliere_count,corneille_frequency,corneille_count
22,0.0,0,7.137554959173186e-06,1
ab,8.127966707848364e-06,1,0.0,0
abaisse,0.0,0,2.1412664877519558e-05,3
abaissee,0.0,0,7.137554959173186e-06,1
abaissees,8.127966707848364e-06,1,0.0,0
abaissement,8.127966707848364e-06,1,7.137554959173186e-06,1
abaissent,0.0,0,7.137554959173186e-06,1
abaisser,0.0,0,3.5687774795865926e-05,5
abaissez,0.0,0,7.137554959173186e-06,1
abandon,8.127966707848364e-06,1,0.0,0
abandonnant,0.0,0,7.137554959173186e-06,1
abandonne,6.502373366278691e-05,8,8.565065951007823e-05,12
abandonnee,1.6255933415696728e-05,2,2.1412664877519558e-05,3
abandonner,3.2511866831393456e-05,4,3.5687774795865926e-05,5
abandonnez,2.4383900123545094e-05,3,0.0,0
abandonnons,1.6255933415696728e-05,2,7.137554959173186e-06,1
abandounado,8.127966707848364e-06,1,0.0,0
abat,8.127966707848364e-06,1,1.4275109918346372e-05,2
abattait,0.0,0,1.4275109918346372e-05,2
abattons,0.0,0,7.137554959173186e-06,1
abattre,0.0,0,2.8550219836692744e-05,4
abattu,8.127966707848364e-06,1,9.278821446925142e-05,13
abattue,1.6255933415696728e-05,2,6.423799463255868e-05,9
abattus,0.0,0,2.8550219836692744e-05,4
abces,8.127966707848364e-06,1,0.0,0
abe,8.127966707848364e-06,1,0.0,0
abhorre,8.127966707848364e-06,1,0.0,0
abime,8.127966707848364e-06,1,2.8550219836692744e-05,4
abimer,0.0,0,7.137554959173186e-06,1
abimes,0.0,0,1.4275109918346372e-05,2
abist,8.127966707848364e-06,1,0.0,0
abject,0.0,0,2.1412664877519558e-05,3
abjet,0.0,0,7.137554959173186e-06,1
abjets,0.0,0,7.137554959173186e-06,1
aboie,8.127966707848364e-06,1,0.0,0
aboient,8.127966707848364e-06,1,0.0,0
abois,8.127966707848364e-06,1,7.137554959173185e-05,10
abolir,0.0,0,7.137554959173186e-06,1
abominable,2.4383900123545094e-05,3,0.0,0
abominations,1.6255933415696728e-05,2,0.0,0
abondant,8.127966707848364e-06,1,0.0,0
abondante,0.0,0,7.137554959173186e-06,1
abonde,8.127966707848364e-06,1,7.137554959173186e-06,1
abondez,8.127966707848364e-06,1,0.0,0
abord,9.753560049418038e-05,12,0.00012847598926511735,18
aborde,0.0,0,7.137554959173186e-06,1
abordee,0.0,0,7.137554959173186e-06,1
abordent,0.0,0,7.137554959173186e-06,1
aborder,1.6255933415696728e-05,2,1.4275109918346372e-05,2
aboucher,8.127966707848364e-06,1,0.0,0
abrege,1.6255933415696728e-05,2,7.137554959173186e-06,1
abri,8.127966707848364e-06,1,0.0,0
absence,8.940763378633202e-05,11,6.423799463255868e-05,9
absent,3.2511866831393456e-05,4,3.5687774795865926e-05,5
absents,0.0,0,7.137554959173186e-06,1
absolu,5.689576695493855e-05,7,0.00012847598926511735,18
absolue,1.6255933415696728e-05,2,6.423799463255868e-05,9
absolument,0.00010566356720202873,13,1.4275109918346372e-05,2
absolus,0.0,0,2.1412664877519558e-05,3
absout,0.0,0,7.137554959173186e-06,1
abstenir,8.127966707848364e-06,1,0.0,0
abstractions,8.127966707848364e-06,1,0.0,0
abus,8.127966707848364e-06,1,4.2825329755039115e-05,6
abusant,0.0,0,7.137554959173186e-06,1
abuse,8.127966707848364e-05,10,0.00012133843430594415,17
