normalized_words,moliere_frequency,moliere_count,corneille_frequency,corneille_count,alpha,unnormalized_word
monsieur,0.012809675531569023,1576,0.001077770798835151,151,11.885342918377129,Monsieur
cela,0.005283178360101437,650,0.0005924170616113745,83,8.918005071851224,cela
voila,0.003405618050588465,419,0.0006281048364072403,88,5.422053538177798,voilà
gens,0.002340854411860329,288,0.0005638668417746816,79,4.1514312217630325,gens
maitre,0.0038445282528122766,473,0.0009350196996516873,131,4.111708292610772,maître
oui,0.004681708823720658,576,0.0011776965682635757,165,3.9753098972033882,Oui
chose,0.0028122764809155342,346,0.0007494432707131845,105,3.7524874674494284,chose
monde,0.0025603095129722348,315,0.0006852052760806258,96,3.7365583750568954,monde
l'on,0.0029098120814097144,358,0.0008493690401416091,119,3.42585136011619,l'on
ah,0.0056082970284153716,690,0.0018200765145891624,255,3.0813523406631655,Ah
toutes,0.0020645035437934847,254,0.0006709301661622795,94,3.0770766436132164,toutes
madame,0.004762988490799142,586,0.0016130874207731399,226,2.9527156615704557,Madame
homme,0.002942323948241108,362,0.0010278079141209388,144,2.862717739197029,homme
dire,0.00427531048832824,526,0.001498886541426369,210,2.8523242888416176,dire
avez,0.002153911177579817,265,0.0008493690401416091,119,2.5358955598625434,avez
fille,0.002153911177579817,265,0.0009136070347741678,128,2.3575904033097084,fille
etes,0.0019507120098836074,240,0.0008350939302232628,117,2.3359192772028456,êtes
parler,0.0019100721763443656,235,0.0008422314851824359,118,2.267870781309754,parler
non,0.0047386045906755965,583,0.0022554673670987266,316,2.1009413214304233,Non
fort,0.0034787697509591,428,0.0016701878604465255,234,2.082861355505871,fort
dit,0.0032186748163079526,396,0.0016559127505281792,232,1.9437466226896956,dit
dis,0.0028122764809155342,346,0.0014560612116713298,204,1.9314273729519118,dis
faire,0.00730704207035568,899,0.0038328670130760006,537,1.9064168011640823,faire
bon,0.002153911177579817,265,0.001156283903386056,162,1.8627874791582881,bon
qu'on,0.005396969894011314,664,0.0031690744018728944,444,1.7030114189877505,qu'on
suis,0.0051368749593601664,632,0.003033460857648604,425,1.693404068955757,suis
ici,0.0026822290135899603,330,0.0016273625306914862,228,1.64820620052635,ici
m'a,0.0020157357435463944,248,0.0012776223376920002,179,1.5777242492392405,m'a
sont,0.003958319786722154,487,0.0025695197853023467,360,1.5404900983303351,sont
prendre,0.0018613043760972755,229,0.0012133843430594416,170,1.533977578286663,prendre
